,S1_sobol,ST_sobol
0,0.048017304793595034,0.06915338475593491
1,3.6723366427621356e-08,5.025117668439112e-12
2,3.6723366427621356e-08,5.025117668439112e-12
3,3.6723366427621356e-08,5.025117668439112e-12
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0001168543533394802,0.0004153615843192846
10,0.0004940188448130015,0.0004265611582138742
11,0.0,0.0
12,-0.00017386156667515486,0.0012337141568521705
13,0.14729011462346564,0.18621700780143266
14,0.047964008804667044,0.05248065188381384
15,0.14548469194850444,0.2935437953494368
16,0.008066685674139191,0.0070902669719993
17,2.098689167932015e-05,5.154647303653232e-06
18,1.0256926324066545e-05,2.5478623222034803e-05
19,0.0,0.0
20,0.007620008160766587,0.023269136760191364
21,0.31522854778106263,0.40176995159525664
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,6.779161880129043e-08,1.394308135754011e-11
27,0.10815053680376618,0.12402022163648793
28,-1.8619417499043332e-05,1.5811383845672358e-07
29,0.04332557846081312,0.053548868146449144
30,-3.0242742362668255e-05,1.8144273466495763e-05
31,2.813256542502961e-05,3.003832098518357e-06
32,-4.139274552684087e-05,7.880477607742046e-06
