,S1_sobol,ST_sobol
0,0.006551898418030736,0.009366364790226142
1,-0.00013202632849185434,4.0719490715047075e-05
2,-0.0011880335915429956,0.0009529614606837266
3,-0.0004679072596471536,4.703907620485955e-05
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,-6.459639845837792e-05,4.79329306608865e-06
10,-4.391412885328699e-06,1.3791339833484064e-06
11,0.0,0.0
12,0.5427880084572437,0.5520603860533226
13,0.0134144372432127,0.023962043452890124
14,-3.637270720772385e-05,0.00021532449614130407
15,0.0004877746043676611,0.0032285571493063333
16,0.05046609608627374,0.05210572921698636
17,0.022891122758630842,0.022149512663778223
18,1.3629297869983744e-05,0.00025341531754137595
19,0.0,0.0
20,5.042381973040374e-05,1.157251293077051e-05
21,0.03263263534611212,0.037549931020233226
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,1.995313939087047e-05,1.5208498244966343e-05
27,0.01596903750555377,0.016554980257469737
28,1.6545812509631955e-05,8.23208286089474e-06
29,0.29543049544321537,0.2932818896190004
30,0.0012298158244558224,0.0009936593625731645
31,0.00010747420380884135,0.00017936809149306086
32,0.0006940836488243283,0.0005858574693171799
