	ET	Baseflow	CROP_SOIL_MOIST	EVAP_SOIL	cell	date
2058-01-012	427.5392	72.5396	200626.4738	133.22	461411652_CC	1/1/2058
2059-01-012	387.7544	72.635	220170.4156	130.1695	461411652_CC	1/1/2059
2060-01-012	401.8876	72.834	229891.3553	134.3443	461411652_CC	1/1/2060
2061-01-012	362.7507	72.635	237839.5606	145.7988	461411652_CC	1/1/2061
2062-01-012	361.262	72.635	235844.7698	107.616	461411652_CC	1/1/2062
2063-01-012	390.5234	72.635	249737.8652	158.9887	461411652_CC	1/1/2063
2064-01-012	323.6932	72.834	268735.3888	120.299	461411652_CC	1/1/2064
2065-01-012	359.1091	72.635	253065.913	102.0915	461411652_CC	1/1/2065
2066-01-012	424.2778	72.635	222863.5076	154.0759	461411652_CC	1/1/2066
2067-01-012	335.6897	72.635	252293.7706	132.1446	461411652_CC	1/1/2067
2068-01-012	385.2956	72.834	241241.6325	153.4476	461411652_CC	1/1/2068
2069-01-012	368.0559	72.635	242749.9632	134.4684	461411652_CC	1/1/2069
2070-01-012	327.7434	72.635	263096.7912	121.4849	461411652_CC	1/1/2070
2071-01-012	347.2585	72.635	245840.733	133.94	461411652_CC	1/1/2071
2072-01-012	379.4616	72.834	242388.3003	130.8274	461411652_CC	1/1/2072
2073-01-012	343.21	72.635	250560.8742	114.0118	461411652_CC	1/1/2073
2074-01-012	366.8501	72.635	269181.0632	144.9074	461411652_CC	1/1/2074
2075-01-012	367.8791	72.635	256682.5274	140.533	461411652_CC	1/1/2075
2076-01-012	362.8964	72.834	275375.1132	144.9437	461411652_CC	1/1/2076
2077-01-012	332.8053	72.635	251798.5137	111.1763	461411652_CC	1/1/2077
2078-01-012	363.4746	72.635	248454.1772	123.91	461411652_CC	1/1/2078
2079-01-012	348.5204	72.635	258858.9618	145.7625	461411652_CC	1/1/2079
2080-01-012	383.581	72.834	238879.9957	161.7302	461411652_CC	1/1/2080
2081-01-012	364.6873	72.635	263809.5904	147.4323	461411652_CC	1/1/2081
2082-01-012	393.4635	72.635	249523.8006	150.2639	461411652_CC	1/1/2082
2083-01-012	383.2917	72.635	231721.7597	118.5186	461411652_CC	1/1/2083
2084-01-012	360.0611	72.834	210588.3588	115.6439	461411652_CC	1/1/2084
2085-01-012	386.0462	72.635	208416.4894	161.5524	461411652_CC	1/1/2085
