"","Year","season_length","Crop_soil_Moist_at_planting","Ndays_season_stress_above_0.5","Ndays_season_stress_above_0.7","N_hot_days_season_stress_above_0.5","N_hot_days_season_stress_above_0.7","Yield","cell"
"1","1981","276","473.5765","44","41","3","0","7.7992","464711710_CC"
"2","1982","354","296.485","58","42","7","0","6.2755","464711710_CC"
"3","1983","274","290.7019","45","35","2","0","6.989","464711710_CC"
"4","1984","280","331.087","25","17","8","0","7.1812","464711710_CC"
"5","1985","279","367.2828","57","29","20","0","5.417","464711710_CC"
"6","1986","270","363.1424","51","30","10","0","5.8609","464711710_CC"
"7","1987","260","344.5676","44","21","13","0","5.6751","464711710_CC"
"8","1988","271","254.1998","21","4","9","0","6.431","464711710_CC"
"9","1989","272","225.4043","55","34","6","0","6.738","464711710_CC"
"10","1990","262","308.0382","46","46","0","0","7.6173","464711710_CC"
"11","1991","274","318.4106","35","35","0","0","8.5288","464711710_CC"
"12","1992","259","251.1825","51","26","17","0","5.7672","464711710_CC"
"13","1993","282","287.4289","33","27","0","0","6.8388","464711710_CC"
"14","1994","269","294.8235","70","40","15","0","6.2393","464711710_CC"
"15","1995","277","209.0241","42","34","4","0","7.1568","464711710_CC"
"16","1996","278","348.5966","40","32","4","0","7.2038","464711710_CC"
"17","1997","284","333.1191","33","32","0","0","7.304","464711710_CC"
"18","1998","270","438.0792","33","33","0","0","7.0976","464711710_CC"
"19","1999","282","398.4772","32","27","4","0","7.1747","464711710_CC"
"20","2000","270","367.6737","26","18","3","0","7.4983","464711710_CC"
"21","2001","285","383.4406","53","23","15","0","5.8335","464711710_CC"
"22","2002","278","240.6438","50","24","18","0","5.9516","464711710_CC"
"23","2003","272","245.5503","40","17","13","0","6.3315","464711710_CC"
"24","2004","271","265.0868","36","22","8","0","7.1523","464711710_CC"
"25","2005","271","306.7228","42","32","7","0","7.2999","464711710_CC"
"26","2006","268","257.5123","27","13","12","0","6.459","464711710_CC"
"27","2007","131","262.7378","36","12","14","0","5.9198","464711710_CC"
"28","2008","282","229.4589","42","17","16","0","5.8227","464711710_CC"
"29","2009","271","277.9895","53","32","13","0","6.1087","464711710_CC"
"30","2010","275","302.801","43","42","1","0","7.7644","464711710_CC"
