"","Year","season_length","Crop_soil_Moist_at_planting","Ndays_season_stress_above_0.5","Ndays_season_stress_above_0.7","N_hot_days_season_stress_above_0.5","N_hot_days_season_stress_above_0.7","Yield","cell"
"1","1981","284","475.0606","76","48","18","0","7.177","476811793_CCF"
"2","1982","355","249.202","73","50","9","0","5.2538","476811793_CCF"
"3","1983","280","262.0526","49","33","8","0","6.1196","476811793_CCF"
"4","1984","282","257.2192","44","17","19","0","6.4598","476811793_CCF"
"5","1985","275","247.0313","77","32","33","0","3.6937","476811793_CCF"
"6","1986","274","260.693","64","35","16","0","5.0063","476811793_CCF"
"7","1987","264","246.8307","43","9","22","0","4.9521","476811793_CCF"
"8","1988","273","231.3051","32","1","19","1","5.8138","476811793_CCF"
"9","1989","283","216.5286","32","0","19","0","5.5196","476811793_CCF"
"10","1990","278","230.1828","91","51","27","0","5.8011","476811793_CCF"
"11","1991","277","290.2017","76","49","23","0","6.6317","476811793_CCF"
"12","1992","268","206.8586","75","31","21","0","4.5226","476811793_CCF"
"13","1993","282","229.7197","57","37","1","0","5.5268","476811793_CCF"
"14","1994","272","249.2175","96","51","21","0","5.098","476811793_CCF"
"15","1995","276","216.3193","61","38","16","0","6.0869","476811793_CCF"
"16","1996","282","292.8589","86","61","20","0","6.0745","476811793_CCF"
"17","1997","286","258.4851","63","42","18","0","5.8093","476811793_CCF"
"18","1998","271","278.0906","54","34","17","0","5.839","476811793_CCF"
"19","1999","282","227.964","62","35","16","0","5.5902","476811793_CCF"
"20","2000","275","218.5863","28","1","17","0","6.513","476811793_CCF"
"21","2001","285","219.5169","73","24","26","0","4.0882","476811793_CCF"
"22","2002","279","220.1192","67","30","27","0","4.7424","476811793_CCF"
"23","2003","274","202.2062","54","29","23","2","5.5523","476811793_CCF"
"24","2004","273","234.2134","47","2","26","0","4.8696","476811793_CCF"
"25","2005","277","245.783","79","51","17","1","5.9822","476811793_CCF"
"26","2006","275","226.5233","47","26","21","0","5.7617","476811793_CCF"
"27","2007","139","258.1921","46","15","24","0","5.041","476811793_CCF"
"28","2008","286","226.959","59","13","30","1","4.1489","476811793_CCF"
"29","2009","279","221.2257","72","38","27","0","4.5064","476811793_CCF"
"30","2010","279","229.4785","77","52","19","1","6.5578","476811793_CCF"
