"","Year","season_length","Crop_soil_Moist_at_planting","Ndays_season_stress_above_0.5","Ndays_season_stress_above_0.7","N_hot_days_season_stress_above_0.5","N_hot_days_season_stress_above_0.7","Yield","cell"
"1","1981","276","469.1167","72","43","14","0","7.2139","471411785_CCF"
"2","1982","349","232.63","61","24","25","1","5.2847","471411785_CCF"
"3","1983","270","226.5845","71","40","10","0","5.9338","471411785_CCF"
"4","1984","278","243.271","59","30","25","0","6.7657","471411785_CCF"
"5","1985","274","240.5255","68","22","34","2","3.7003","471411785_CCF"
"6","1986","266","255.5855","58","32","16","1","5.3637","471411785_CCF"
"7","1987","258","219.352","56","12","20","0","4.3766","471411785_CCF"
"8","1988","267","203.3404","48","4","18","0","5.1223","471411785_CCF"
"9","1989","273","203.6195","64","26","21","1","5.4843","471411785_CCF"
"10","1990","268","227.8885","76","47","21","0","5.8322","471411785_CCF"
"11","1991","271","259.417","75","48","18","2","6.699","471411785_CCF"
"12","1992","256","195.221","71","31","25","1","4.8191","471411785_CCF"
"13","1993","275","223.8539","73","23","11","0","5.2696","471411785_CCF"
"14","1994","263","235.6275","82","36","18","1","4.4181","471411785_CCF"
"15","1995","267","197.1922","68","49","15","0","6.3116","471411785_CCF"
"16","1996","274","278.1509","77","56","18","0","6.6266","471411785_CCF"
"17","1997","279","237.4373","68","40","15","0","5.8126","471411785_CCF"
"18","1998","262","246.4305","67","37","17","0","5.8677","471411785_CCF"
"19","1999","275","210.4147","64","29","17","2","6.0744","471411785_CCF"
"20","2000","265","204.8159","56","23","17","0","6.0814","471411785_CCF"
"21","2001","282","218.4993","48","1","27","0","4.0403","471411785_CCF"
"22","2002","272","201.2393","67","33","26","1","5.256","471411785_CCF"
"23","2003","264","194.5063","44","15","24","3","5.9257","471411785_CCF"
"24","2004","266","210.7633","45","5","21","1","5.1751","471411785_CCF"
"25","2005","267","231.7926","91","52","20","2","5.4737","471411785_CCF"
"26","2006","265","224.7818","48","28","14","0","6.0206","471411785_CCF"
"27","2007","130","225.4217","52","17","19","1","5.1579","471411785_CCF"
"28","2008","279","211.8423","41","3","32","2","4.3364","471411785_CCF"
"29","2009","272","207.6529","44","19","20","0","5.2709","471411785_CCF"
"30","2010","269","223.7913","82","56","18","2","7.0394","471411785_CCF"
