"","Year","season_length","Crop_soil_Moist_at_planting","Ndays_season_stress_above_0.5","Ndays_season_stress_above_0.7","N_hot_days_season_stress_above_0.5","N_hot_days_season_stress_above_0.7","Yield","cell"
"1","1981","273","382.4028","37","2","14","0","5.4522","473911972_CF"
"2","1982","350","219.452","84","13","33","2","2.1541","473911972_CF"
"3","1983","273","214.7935","51","18","8","1","5.0339","473911972_CF"
"4","1984","277","227.4403","38","0","29","0","5.68","473911972_CF"
"5","1985","273","224.8991","60","4","37","0","2.12","473911972_CF"
"6","1986","268","221.1087","50","0","34","0","3.536","473911972_CF"
"7","1987","259","232.9936","53","0","25","0","3.4415","473911972_CF"
"8","1988","266","210.6591","63","2","26","1","1.7464","473911972_CF"
"9","1989","273","194.0505","53","1","25","0","1.3428","473911972_CF"
"10","1990","266","197.1719","43","2","22","2","1.3673","473911972_CF"
"11","1991","269","247.297","73","1","22","0","3.3411","473911972_CF"
"12","1992","256","197.3104","70","3","33","3","2.232","473911972_CF"
"13","1993","273","219.0391","56","0","19","0","3.1498","473911972_CF"
"14","1994","259","221.6314","72","2","25","2","1.8539","473911972_CF"
"15","1995","267","196.579","40","1","21","1","4.6543","473911972_CF"
"16","1996","273","217.8406","44","1","27","1","4.8694","473911972_CF"
"17","1997","284","205.227","41","0","24","0","4.0288","473911972_CF"
"18","1998","264","242.5614","49","5","23","0","4.0638","473911972_CF"
"19","1999","274","207.8224","66","0","20","0","3.6003","473911972_CF"
"20","2000","266","196.3794","62","2","24","2","1.6642","473911972_CF"
"21","2001","278","191.1591","51","2","31","2","1.1136","473911972_CF"
"22","2002","273","192.3647","68","4","32","3","2.1287","473911972_CF"
"23","2003","266","188.5163","43","0","31","0","3.8644","473911972_CF"
"24","2004","262","197.0061","60","2","25","2","1.3348","473911972_CF"
"25","2005","265","219.103","61","1","21","1","2.2355","473911972_CF"
"26","2006","268","209.5676","36","1","21","1","4.5707","473911972_CF"
"27","2007","133","200.6571","55","2","24","2","1.9198","473911972_CF"
"28","2008","276","198.6281","1","1","1","1","0.3921","473911972_CF"
"29","2009","269","197.5855","47","2","34","2","0.8842","473911972_CF"
"30","2010","270","209.3361","72","3","23","3","2.7543","473911972_CF"
