"","Year","season_length","Crop_soil_Moist_at_planting","Ndays_season_stress_above_0.5","Ndays_season_stress_above_0.7","N_hot_days_season_stress_above_0.5","N_hot_days_season_stress_above_0.7","Yield","cell"
"1","1981","238","465.9083","17","16","0","0","6.789","461011843_CCF"
"2","1982","319","269.4927","62","45","6","0","6.5725","461011843_CCF"
"3","1983","232","246.0384","58","50","7","0","6.4333","461011843_CCF"
"4","1984","242","258.0116","32","25","0","0","7.147","461011843_CCF"
"5","1985","251","267.4934","59","24","19","2","4.852","461011843_CCF"
"6","1986","241","235.7962","63","47","13","0","6.1557","461011843_CCF"
"7","1987","233","217.1076","44","17","8","0","4.7266","461011843_CCF"
"8","1988","241","169.2101","39","0","14","0","3.1818","461011843_CCF"
"9","1989","242","169.6651","54","0","18","0","3.3965","461011843_CCF"
"10","1990","236","187.6589","47","0","3","0","4.1935","461011843_CCF"
"11","1991","243","205.8322","51","42","2","0","6.8437","461011843_CCF"
"12","1992","229","173.517","61","31","18","0","4.9244","461011843_CCF"
"13","1993","252","254.1092","24","19","1","0","6.2959","461011843_CCF"
"14","1994","233","245.3006","29","8","11","0","4.9993","461011843_CCF"
"15","1995","238","172.6192","42","40","0","0","6.846","461011843_CCF"
"16","1996","240","289.096","39","38","0","0","6.8697","461011843_CCF"
"17","1997","244","240.7564","35","30","4","0","5.9896","461011843_CCF"
"18","1998","236","252.4443","40","23","7","0","5.8766","461011843_CCF"
"19","1999","235","202.6315","44","1","11","1","5.2209","461011843_CCF"
"20","2000","233","174.7231","43","0","9","0","4.6422","461011843_CCF"
"21","2001","255","225.7534","79","44","15","0","5.4197","461011843_CCF"
"22","2002","242","184.415","47","13","15","1","5.5765","461011843_CCF"
"23","2003","233","169.6188","25","0","11","0","5.6855","461011843_CCF"
"24","2004","241","198.2454","16","0","4","0","5.5914","461011843_CCF"
"25","2005","239","220.9119","68","29","9","0","4.8772","461011843_CCF"
"26","2006","237","180.113","14","0","9","0","6.0145","461011843_CCF"
"27","2007","104","190.7158","34","9","15","0","5.6331","461011843_CCF"
"28","2008","249","190.619","47","1","18","1","4.9262","461011843_CCF"
"29","2009","245","189.9125","29","17","11","0","5.9384","461011843_CCF"
"30","2010","241","234.8094","46","25","5","0","5.8238","461011843_CCF"
