"","Year","season_length","Crop_soil_Moist_at_planting","Ndays_season_stress_above_0.5","Ndays_season_stress_above_0.7","N_hot_days_season_stress_above_0.5","N_hot_days_season_stress_above_0.7","Yield","cell"
"1","1981","248","341.563","36","2","7","2","5.5489","460611981_CF"
"2","1982","328","197.2979","60","3","24","3","1.9658","460611981_CF"
"3","1983","243","214.7402","30","5","22","5","5.6651","460611981_CF"
"4","1984","253","196.668","60","1","15","1","5.0614","460611981_CF"
"5","1985","259","192.747","71","3","35","3","2.0173","460611981_CF"
"6","1986","247","210.7635","58","2","26","2","3.8997","460611981_CF"
"7","1987","241","210.4329","68","0","27","0","2.5679","460611981_CF"
"8","1988","248","175.2607","53","2","21","2","1.9572","460611981_CF"
"9","1989","245","179.6535","28","2","19","2","1.2533","460611981_CF"
"10","1990","244","186.0239","63","1","5","0","1.4626","460611981_CF"
"11","1991","251","199.7261","44","2","13","2","1.7895","460611981_CF"
"12","1992","236","174.4836","57","2","27","2","1.9778","460611981_CF"
"13","1993","258","202.8923","73","3","34","3","2.4928","460611981_CF"
"14","1994","242","187.7089","44","1","22","0","1.1811","460611981_CF"
"15","1995","250","182.1006","51","0","18","0","4.6551","460611981_CF"
"16","1996","251","202.2572","73","0","20","0","3.6684","460611981_CF"
"17","1997","255","182.9438","40","5","20","5","4.8546","460611981_CF"
"18","1998","242","203.0104","66","0","27","0","3.6971","460611981_CF"
"19","1999","244","189.8333","67","2","22","2","2.6419","460611981_CF"
"20","2000","242","174.7462","64","3","19","2","2.3023","460611981_CF"
"21","2001","259","194.8811","34","2","29","2","1.0471","460611981_CF"
"22","2002","250","182.4437","74","4","20","2","2.0213","460611981_CF"
"23","2003","237","173.3068","50","0","17","0","3.5569","460611981_CF"
"24","2004","245","191.0433","69","0","18","0","2.6551","460611981_CF"
"25","2005","244","205.8222","42","2","13","1","1.4371","460611981_CF"
"26","2006","245","189.7062","49","0","15","0","4.4007","460611981_CF"
"27","2007","111","177.972","33","0","16","0","2.4042","460611981_CF"
"28","2008","255","191.2029","52","1","27","1","1.6226","460611981_CF"
"29","2009","250","185.0899","57","2","35","2","1.8751","460611981_CF"
"30","2010","250","195.9244","74","0","15","0","3.0877","460611981_CF"
