ET	Runoff	Baseflow	CROP_SOIL_MOIST	EVAP_SOIL	date	cell
317.9966	25.2761	0.0315	77236.9057	83.8629	1/1/1989	455612106_CCF
262.4363	26.7725	0.0233	71965.918	109.227	1/1/1990	455612106_CCF
283.2397	30.3583	0.0315	79797.8807	108.5587	1/1/1991	455612106_CCF
323.7781	27.3585	0.0316	81625.3745	84.5356	1/1/1992	455612106_CCF
363.3012	35.8577	0.0314	77505.1925	101.0356	1/1/1993	455612106_CCF
217.2798	32.0031	0.0276	73294.1195	91.8662	1/1/1994	455612106_CCF
378.1827	86.7685	30.2509	110786.066	136.1831	1/1/1995	455612106_CCF
345.942	109.0224	137.2966	110179.8017	87.0042	1/1/1996	455612106_CCF
325.8843	57.0393	152.6841	106640.545	84.0216	1/1/1997	455612106_CCF
361.7179	66.7002	12.7601	99372.5645	100.4356	1/1/1998	455612106_CCF
326.5006	42.3914	46.4817	97701.3709	50.4138	1/1/1999	455612106_CCF
354.5694	33.5917	4.3116	81243.2708	64.2271	1/1/2000	455612106_CCF
160.0195	26.0298	0.1525	68110.4701	83.9729	1/1/2001	455612106_CCF
334.2632	31.9442	0.0342	86340.1735	79.0049	1/1/2002	455612106_CCF
331.9498	44.9806	0.0365	92212.9527	78.5467	1/1/2003	455612106_CCF
356.8029	39.7211	0.0333	89848.6402	91.9106	1/1/2004	455612106_CCF
269.4586	38.5559	0.0293	70968.7455	119.7433	1/1/2005	455612106_CCF
357.7923	76.5101	68.4007	106891.9375	97.4142	1/1/2006	455612106_CCF
307.6948	49.2031	16.9779	104579.2942	62.6367	1/1/2007	455612106_CCF
373.895	35.3033	13.4328	97573.7379	72.3124	1/1/2008	455612106_CCF
347.1476	44.3667	6.7783	89250.6733	80.3981	1/1/2009	455612106_CCF
383.9958	67.5335	1.1914	93238.4203	118.7164	1/1/2010	455612106_CCF
391.5794	12.6678	1.4328	109978.7477	93.4411	1/1/1981	476411993_CF
308.8527	4.7856	1.3906	72926.1963	80.7803	1/1/1982	476411993_CF
369.7314	15.795	0.7191	88306.1455	93.4204	1/1/1983	476411993_CF
