"","Year","season_length","Crop_soil_Moist_at_planting","Ndays_season_stress_above_0.5","Ndays_season_stress_above_0.7","N_hot_days_season_stress_above_0.5","N_hot_days_season_stress_above_0.7","Yield","cell"
"1","1981","261","378.4272","76","45","13","2","6.1676","468511889_CF"
"2","1982","338","175.7829","86","24","25","2","1.7705","468511889_CF"
"3","1983","256","172.7244","83","46","19","1","5.6627","468511889_CF"
"4","1984","266","160.0019","54","5","23","2","5.5759","468511889_CF"
"5","1985","268","166.1473","69","1","41","1","2.1481","468511889_CF"
"6","1986","256","176.4386","50","3","33","1","4.1987","468511889_CF"
"7","1987","248","169.3882","71","2","27","0","2.112","468511889_CF"
"8","1988","254","151.399","66","2","25","2","2.1354","468511889_CF"
"9","1989","257","153.2962","64","2","21","0","2.0327","468511889_CF"
"10","1990","254","152.3174","48","2","13","2","1.5517","468511889_CF"
"11","1991","259","193.6896","72","2","14","0","3.8904","468511889_CF"
"12","1992","245","151.139","66","0","31","0","2.3926","468511889_CF"
"13","1993","268","186.132","52","0","26","0","4.0218","468511889_CF"
"14","1994","250","167.9811","61","2","22","1","1.6426","468511889_CF"
"15","1995","257","153.3791","51","11","20","0","5.3033","468511889_CF"
"16","1996","266","179.8016","48","5","24","2","5.2388","468511889_CF"
"17","1997","270","153.1563","57","23","14","0","5.0006","468511889_CF"
"18","1998","255","178.4179","62","0","24","0","3.8639","468511889_CF"
"19","1999","258","158.233","76","0","18","0","2.672","468511889_CF"
"20","2000","252","148.3461","63","1","18","1","2.0289","468511889_CF"
"21","2001","268","162.2694","74","3","32","3","2.3367","468511889_CF"
"22","2002","261","155.106","72","0","23","0","3.0312","468511889_CF"
"23","2003","252","145.4293","54","0","22","0","3.7166","468511889_CF"
"24","2004","254","154.4286","70","3","20","3","2.2138","468511889_CF"
"25","2005","254","164.9736","31","2","16","0","1.1874","468511889_CF"
"26","2006","255","166.0413","53","0","20","0","4.3451","468511889_CF"
"27","2007","122","154.5359","45","0","19","0","3.2452","468511889_CF"
"28","2008","265","160.5345","26","2","21","2","0.9518","468511889_CF"
"29","2009","260","153.334","63","3","40","3","2.4917","468511889_CF"
"30","2010","256","164.7453","81","0","19","0","3.9193","468511889_CF"
