"","Year","season_length","Crop_soil_Moist_at_planting","Ndays_season_stress_above_0.5","Ndays_season_stress_above_0.7","N_hot_days_season_stress_above_0.5","N_hot_days_season_stress_above_0.7","Yield","cell"
"1","1981","279","393.7877","70","59","9","0","6.1385","453911731_CCF"
"2","1982","348","228.9355","71","58","8","0","4.9546","453911731_CCF"
"3","1983","281","249.1343","65","51","7","0","5.3155","453911731_CCF"
"4","1984","278","241.5489","35","25","5","0","5.097","453911731_CCF"
"5","1985","260","301.5435","78","59","18","0","3.5147","453911731_CCF"
"6","1986","275","281.6005","79","56","11","0","4.3666","453911731_CCF"
"7","1987","283","225.773","76","42","17","0","4.3973","453911731_CCF"
"8","1988","281","174.1916","49","0","29","0","3.083","453911731_CCF"
"9","1989","289","181.9823","51","0","24","0","3.5274","453911731_CCF"
"10","1990","283","299.7377","64","42","16","0","6.0958","453911731_CCF"
"11","1991","274","217.2744","46","40","5","0","5.1605","453911731_CCF"
"12","1992","288","168.424","56","0","22","0","2.5212","453911731_CCF"
"13","1993","282","192.788","55","41","0","0","5.7333","453911731_CCF"
"14","1994","279","238.6435","101","63","28","0","4.3267","453911731_CCF"
"15","1995","279","182.2786","77","65","8","0","5.695","453911731_CCF"
"16","1996","281","217.0146","67","48","15","0","5.7611","453911731_CCF"
"17","1997","280","198.4357","55","41","7","0","5.0477","453911731_CCF"
"18","1998","280","222.9957","54","44","9","0","5.8377","453911731_CCF"
"19","1999","279","245.5121","60","40","14","0","4.2031","453911731_CCF"
"20","2000","282","186.2275","88","34","27","1","4.9909","453911731_CCF"
"21","2001","285","223.5895","84","57","19","0","3.9488","453911731_CCF"
"22","2002","276","198.1248","83","48","27","0","3.8123","453911731_CCF"
"23","2003","283","203.0466","75","44","26","0","5.0056","453911731_CCF"
"24","2004","282","192.7335","94","36","32","0","3.9819","453911731_CCF"
"25","2005","285","250.4505","72","49","18","1","6.1195","453911731_CCF"
"26","2006","284","184.859","78","39","33","0","4.4835","453911731_CCF"
"27","2007","141","216.4221","80","33","34","0","3.8152","453911731_CCF"
"28","2008","283","212.909","65","39","17","0","4.2345","453911731_CCF"
"29","2009","276","206.0472","60","40","16","0","5.4212","453911731_CCF"
"30","2010","280","248.143","54","54","0","0","5.3487","453911731_CCF"
