"","Year","season_length","Crop_soil_Moist_at_planting","Ndays_season_stress_above_0.5","Ndays_season_stress_above_0.7","N_hot_days_season_stress_above_0.5","N_hot_days_season_stress_above_0.7","Yield","cell"
"1","1981","282","378.5344","85","54","22","0","5.9077","476411993_CF"
"2","1982","357","207.0213","56","1","35","0","3.1313","476411993_CF"
"3","1983","281","172.699","40","7","13","0","5.0446","476411993_CF"
"4","1984","282","210.2277","66","33","22","1","6.1046","476411993_CF"
"5","1985","274","171.4977","102","36","47","2","1.3796","476411993_CF"
"6","1986","276","180.9266","55","4","30","0","3.4006","476411993_CF"
"7","1987","269","206.3979","65","0","30","0","2.6834","476411993_CF"
"8","1988","274","173.678","60","2","29","2","1.3735","476411993_CF"
"9","1989","280","154.3878","44","1","27","0","1.0934","476411993_CF"
"10","1990","273","159.3783","49","2","26","2","2.1405","476411993_CF"
"11","1991","276","202.6339","60","2","25","2","2.817","476411993_CF"
"12","1992","267","161.4746","64","2","34","2","1.7924","476411993_CF"
"13","1993","283","190.9112","98","34","12","0","3.2632","476411993_CF"
"14","1994","267","177.1897","63","2","27","2","1.3722","476411993_CF"
"15","1995","275","161.3352","43","5","22","1","4.5004","476411993_CF"
"16","1996","283","169.5814","64","7","31","0","3.8261","476411993_CF"
"17","1997","284","171.3507","48","3","23","0","3.4094","476411993_CF"
"18","1998","272","208.0035","96","57","25","0","4.3147","476411993_CF"
"19","1999","283","158.4993","65","2","28","2","1.512","476411993_CF"
"20","2000","275","165.1611","71","2","27","2","1.8464","476411993_CF"
"21","2001","285","155.0247","60","2","35","0","1.244","476411993_CF"
"22","2002","280","156.1288","29","2","22","2","0.8021","476411993_CF"
"23","2003","275","154.4725","49","0","34","0","3.7118","476411993_CF"
"24","2004","269","155.7559","33","3","26","2","0.8633","476411993_CF"
"25","2005","274","180.9909","62","2","24","2","2.7082","476411993_CF"
"26","2006","277","169.545","47","12","26","2","4.3949","476411993_CF"
"27","2007","140","170.4443","62","2","30","2","1.9774","476411993_CF"
"28","2008","284","162.3953","3","2","0","0","0.2884","476411993_CF"
"29","2009","275","159.4991","71","3","41","1","1.2999","476411993_CF"
"30","2010","279","169.9429","67","0","28","0","3.4066","476411993_CF"
