"","Year","season_length","Crop_soil_Moist_at_planting","Ndays_season_stress_above_0.5","Ndays_season_stress_above_0.7","N_hot_days_season_stress_above_0.5","N_hot_days_season_stress_above_0.7","Yield","cell"
"1","1981","283","578.0368","10","9","0","0","7.5546","461411652_CC"
"2","1982","347","453.274","25","24","0","0","5.3686","461411652_CC"
"3","1983","280","489.6455","27","27","0","0","6.3167","461411652_CC"
"4","1984","281","462.6581","1","0","1","0","5.712","461411652_CC"
"5","1985","263","490.8114","57","49","7","0","4.4141","461411652_CC"
"6","1986","277","537.8642","52","37","5","0","4.8828","461411652_CC"
"7","1987","283","461.8467","24","11","3","0","6.0636","461411652_CC"
"8","1988","282","380.4467","14","0","10","0","6.2848","461411652_CC"
"9","1989","290","368.1018","9","0","8","0","6.6087","461411652_CC"
"10","1990","283","439.1675","2","2","0","0","7.3738","461411652_CC"
"11","1991","275","473.8026","26","26","0","0","6.6473","461411652_CC"
"12","1992","287","388.9779","33","15","13","0","5.1701","461411652_CC"
"13","1993","282","411.5123","25","15","0","0","6.4138","461411652_CC"
"14","1994","282","513.7494","50","30","19","0","6.2276","461411652_CC"
"15","1995","282","373.6128","33","32","1","0","6.6956","461411652_CC"
"16","1996","278","502.7738","15","6","7","0","5.7374","461411652_CC"
"17","1997","284","410.3909","41","41","0","0","6.2558","461411652_CC"
"18","1998","280","545.6834","22","21","0","0","6.5581","461411652_CC"
"19","1999","279","533.2595","22","19","1","0","5.1467","461411652_CC"
"20","2000","281","477.9601","20","0","15","0","6.911","461411652_CC"
"21","2001","284","471.3335","42","27","4","0","4.9762","461411652_CC"
"22","2002","277","424.1911","25","9","9","0","5.0244","461411652_CC"
"23","2003","282","402.0387","38","18","16","0","5.213","461411652_CC"
"24","2004","282","402.1904","38","31","7","0","6.477","461411652_CC"
"25","2005","285","465.0559","36","24","10","0","6.6596","461411652_CC"
"26","2006","284","387.0201","32","15","15","0","5.6267","461411652_CC"
"27","2007","140","418.6162","37","13","23","0","5.2793","461411652_CC"
"28","2008","284","390.3469","16","1","9","0","4.6858","461411652_CC"
"29","2009","275","414.6284","16","2","13","0","4.8781","461411652_CC"
"30","2010","279","435.7963","33","30","0","0","5.965","461411652_CC"
