"","Year","season_length","Crop_soil_Moist_at_planting","Ndays_season_stress_above_0.5","Ndays_season_stress_above_0.7","N_hot_days_season_stress_above_0.5","N_hot_days_season_stress_above_0.7","Yield","cell"
"1","1981","282","531.0169","16","0","12","0","8.2447","469711710_CC"
"2","1982","357","338.3294","27","1","14","0","6.0556","469711710_CC"
"3","1983","280","343.565","16","1","8","0","6.7588","469711710_CC"
"4","1984","283","341.4352","21","0","19","0","7.1317","469711710_CC"
"5","1985","277","367.6516","29","3","25","0","4.8891","469711710_CC"
"6","1986","276","381.8318","32","0","17","0","5.776","469711710_CC"
"7","1987","267","341.748","31","0","19","0","5.4877","469711710_CC"
"8","1988","276","302.1289","29","0","14","0","6.6872","469711710_CC"
"9","1989","283","292.5408","29","0","16","0","6.5229","469711710_CC"
"10","1990","275","355.0075","12","0","12","0","7.8519","469711710_CC"
"11","1991","278","392.5532","16","0","14","0","8.0517","469711710_CC"
"12","1992","264","290.5914","35","1","17","1","5.7287","469711710_CC"
"13","1993","283","349.1835","3","0","0","0","6.8431","469711710_CC"
"14","1994","274","349.9941","31","2","22","2","6.3803","469711710_CC"
"15","1995","280","283.875","23","0","13","0","7.0341","469711710_CC"
"16","1996","283","387.9471","22","0","18","0","7.0043","469711710_CC"
"17","1997","287","326.3822","2","0","1","0","7.2011","469711710_CC"
"18","1998","272","436.0186","12","0","9","0","7.0127","469711710_CC"
"19","1999","282","392.1743","17","0","12","0","6.7783","469711710_CC"
"20","2000","277","388.0426","18","0","15","0","7.6671","469711710_CC"
"21","2001","285","396.9602","25","0","18","0","5.4424","469711710_CC"
"22","2002","282","300.9425","26","1","23","0","5.7972","469711710_CC"
"23","2003","274","300.5256","28","1","19","1","6.1372","469711710_CC"
"24","2004","274","316.0743","23","0","18","0","7.1911","469711710_CC"
"25","2005","277","358.8863","20","1","13","0","7.3515","469711710_CC"
"26","2006","273","328.5323","21","0","21","0","6.4321","469711710_CC"
"27","2007","136","317.2777","30","1","22","1","5.8026","469711710_CC"
"28","2008","287","294.8636","28","0","25","0","5.462","469711710_CC"
"29","2009","278","324.2361","28","0","21","0","5.6302","469711710_CC"
"30","2010","279","320.2821","18","0","17","0","7.9249","469711710_CC"
