"","Year","season_length","Crop_soil_Moist_at_planting","Ndays_season_stress_above_0.5","Ndays_season_stress_above_0.7","N_hot_days_season_stress_above_0.5","N_hot_days_season_stress_above_0.7","Yield","cell"
"1","1981","250","438.4482","66","36","4","0","6.0567","455612106_CCF"
"2","1982","328","218.7778","63","33","20","1","5.9235","455612106_CCF"
"3","1983","244","222.1126","60","41","9","0","6.1706","455612106_CCF"
"4","1984","254","243.091","35","11","15","0","7.0219","455612106_CCF"
"5","1985","259","203.4045","61","28","23","8","4.7401","455612106_CCF"
"6","1986","251","207.7481","38","11","17","0","5.9537","455612106_CCF"
"7","1987","242","208.144","26","2","12","2","5.0467","455612106_CCF"
"8","1988","251","169.9529","26","13","8","0","5.1152","455612106_CCF"
"9","1989","245","161.7496","29","1","14","1","4.1779","455612106_CCF"
"10","1990","245","177.0295","55","0","6","0","4.1515","455612106_CCF"
"11","1991","253","190.7803","51","7","5","1","5.599","455612106_CCF"
"12","1992","231","161.5007","27","9","13","0","5.3552","455612106_CCF"
"13","1993","258","178.01","20","2","10","2","5.5729","455612106_CCF"
"14","1994","241","168.1782","57","0","20","0","3.405","455612106_CCF"
"15","1995","247","166.2971","36","28","4","0","6.2344","455612106_CCF"
"16","1996","242","241.9796","50","30","13","0","6.4999","455612106_CCF"
"17","1997","247","214.7649","41","25","8","0","5.8535","455612106_CCF"
"18","1998","237","228.5384","7","5","0","0","6.437","455612106_CCF"
"19","1999","241","212.3207","51","25","14","0","6.1521","455612106_CCF"
"20","2000","243","185.6561","27","2","9","2","5.6592","455612106_CCF"
"21","2001","253","177.8578","60","2","29","0","2.022","455612106_CCF"
"22","2002","247","182.6833","49","21","14","1","5.792","455612106_CCF"
"23","2003","239","165.7526","20","13","7","0","6.2667","455612106_CCF"
"24","2004","245","203.3674","31","0","9","0","5.585","455612106_CCF"
"25","2005","246","198.3287","57","1","9","1","4.282","455612106_CCF"
"26","2006","250","180.2978","21","8","4","0","6.2829","455612106_CCF"
"27","2007","112","190.8393","41","14","12","0","5.4249","455612106_CCF"
"28","2008","258","207.0904","60","31","16","1","5.7628","455612106_CCF"
"29","2009","251","188.9996","41","14","19","1","5.4416","455612106_CCF"
"30","2010","251","185.0705","19","6","6","0","7.0396","455612106_CCF"
