"","Year","season_length","Crop_soil_Moist_at_planting","Ndays_season_stress_above_0.5","Ndays_season_stress_above_0.7","N_hot_days_season_stress_above_0.5","N_hot_days_season_stress_above_0.7","Yield","cell"
"1","1981","264","492.0043","31","30","0","0","7.9356","463911781_CC"
"2","1982","342","332.1693","49","30","13","0","6.4343","463911781_CC"
"3","1983","259","291.1534","55","34","4","0","6.8905","463911781_CC"
"4","1984","269","303.1332","23","21","2","0","7.3775","463911781_CC"
"5","1985","273","317.0457","51","22","19","0","5.5785","463911781_CC"
"6","1986","257","318.2564","38","16","13","0","6.0456","463911781_CC"
"7","1987","254","291.6611","40","13","12","0","5.5273","463911781_CC"
"8","1988","260","232.6297","22","11","7","0","6.9548","463911781_CC"
"9","1989","264","224.2006","36","20","6","0","6.5295","463911781_CC"
"10","1990","254","286.2964","35","35","0","0","7.5074","463911781_CC"
"11","1991","264","318.969","39","37","0","0","8.2708","463911781_CC"
"12","1992","250","275.0779","64","37","13","0","5.8931","463911781_CC"
"13","1993","268","307.7501","35","20","0","0","6.3472","463911781_CC"
"14","1994","257","309.678","58","39","10","1","6.0956","463911781_CC"
"15","1995","266","231.2165","38","38","0","0","7.4769","463911781_CC"
"16","1996","267","331.351","44","37","3","0","7.4144","463911781_CC"
"17","1997","272","270.0616","37","36","1","0","6.9811","463911781_CC"
"18","1998","261","362.2894","46","39","6","0","6.8005","463911781_CC"
"19","1999","271","295.7613","50","25","9","0","6.5203","463911781_CC"
"20","2000","260","279.7437","37","28","6","0","7.0719","463911781_CC"
"21","2001","274","317.2011","52","27","16","0","5.8079","463911781_CC"
"22","2002","269","253.7356","59","37","15","0","6.3389","463911781_CC"
"23","2003","261","237.7997","26","13","9","0","6.552","463911781_CC"
"24","2004","259","274.0779","27","15","9","0","7.4494","463911781_CC"
"25","2005","262","292.9296","44","30","8","0","7.0361","463911781_CC"
"26","2006","260","241.2516","32","22","6","0","6.6614","463911781_CC"
"27","2007","125","273.0612","35","12","10","0","6.0731","463911781_CC"
"28","2008","273","246.6529","38","17","16","0","6.2363","463911781_CC"
"29","2009","265","281.115","63","47","10","0","6.2249","463911781_CC"
"30","2010","266","290.5799","41","40","0","0","8.0354","463911781_CC"
