"Yield","sample"
3.28704666666667,1
3.11319666666667,2
3.28704666666667,3
3.28704666666667,4
3.28704666666667,5
3.23853666666667,6
3.28704666666667,7
3.41154,8
3.28704666666667,9
3.23974333333333,10
3.35074666666667,11
3.32761666666667,12
2.92769,13
3.28704666666667,14
3.17303,15
3.50119333333333,16
3.92459333333333,17
3.22848666666667,18
3.28708666666667,19
3.28886,20
3.28704666666667,21
3.2806,22
3.43564,23
3.28704666666667,24
3.28704666666667,25
3.12379,26
3.27137333333333,27
3.28704666666667,28
3.09506,29
3.28752666666667,30
3.29656333333333,31
3.28789333333333,32
3.28697666666667,33
3.28898333333333,34
3.95059333333333,35
3.81682,36
3.81682,37
3.81682,38
3.88362,39
3.81682,40
3.66050666666667,41
3.81682,42
3.86663,43
3.74629,44
3.77358,45
4.28702,46
3.81682,47
3.65464,48
2.94688,49
3.1804,50
3.90836333333333,51
3.81672666666667,52
3.81557333333333,53
3.81682,54
3.81638,55
3.51955,56
3.81682,57
3.81682,58
4.36746,59
3.81682,60
3.81682,61
3.97970333333333,62
3.81606,63
3.82303666666667,64
3.8125,65
3.81735333333333,66
3.81407,67
3.81682,68
3.38527,69
3.59069333333333,70
3.38527,71
3.38527,72
3.38527,73
3.44737333333333,74
3.38527,75
3.53868333333333,76
3.38527,77
3.50536,78
3.37837333333333,79
3.36515,80
3.61756666666667,81
3.38037,82
3.22999666666667,83
3.15683333333333,84
2.99099666666667,85
3.60943666666667,86
3.38542666666667,87
3.41670333333333,88
3.38527,89
3.37216666666667,90
2.93618333333333,91
3.38527,92
3.38527,93
3.51098,94
3.37566333333333,95
3.38527,96
3.44288333333333,97
3.38466666666667,98
3.39763666666667,99
3.39037333333333,100
3.3852,101
3.38773333333333,102
3.33961666666667,103
3.57026333333333,104
3.57026333333333,105
3.57026333333333,106
3.50768666666667,107
3.57026333333333,108
3.42497,109
3.57026333333333,110
3.44769,111
3.58403,112
3.61744,113
3.35674666666667,114
3.56596666666667,115
3.70464333333333,116
3.59717,117
4.07250333333333,118
3.36486333333333,119
3.57017666666667,120
3.54007,121
3.57026333333333,122
3.55405333333333,123
3.65151666666667,124
3.57026333333333,125
3.57026333333333,126
3.51263333333333,127
3.58878666666667,128
3.57026333333333,129
3.47577333333333,130
3.571,131
3.54551333333333,132
3.56963333333333,133
3.57035333333333,134
3.56947333333333,135
3.57026333333333,136
2.26237,137
2.40019,138
2.26237,139
2.26237,140
2.26237,141
2.26050666666667,142
2.26237,143
2.25346,144
2.26237,145
2.30337666666667,146
2.26096,147
2.26366333333333,148
2.40006666666667,149
2.26237,150
2.23588,151
2.23204,152
2.46393,153
2.26616333333333,154
2.26237666666667,155
2.26632333333333,156
2.26237,157
2.27039333333333,158
2.26031666666667,159
2.26237,160
2.26237,161
2.26234666666667,162
2.24716333333333,163
2.26237,164
2.26598666666667,165
2.26237666666667,166
2.28114666666667,167
2.26129,168
2.26296333333333,169
2.26346333333333,170
2.63716333333333,171
2.82237333333333,172
2.82237333333333,173
2.82237333333333,174
2.82577,175
2.82237333333333,176
2.83641,177
2.82237333333333,178
2.77741666666667,179
2.82637333333333,180
2.81589,181
2.67676333333333,182
2.82237333333333,183
2.79790333333333,184
2.98193,185
2.50211666666667,186
2.78363,187
2.82232,188
2.82563,189
2.82237333333333,190
2.82328,191
2.86412,192
2.82237333333333,193
2.82237333333333,194
2.82244333333333,195
2.83936,196
2.82237333333333,197
2.82896666666667,198
2.82233666666667,199
2.80207333333333,200
2.82641,201
2.81996333333333,202
2.81494,203
2.82237333333333,204
3.61930666666667,205
3.48007,206
3.61930666666667,207
3.61930666666667,208
3.61930666666667,209
3.61412,210
3.61930666666667,211
3.60016666666667,212
3.61930666666667,213
3.47027,214
3.60022666666667,215
3.63506,216
3.39560333333333,217
3.61846333333333,218
3.65028,219
3.28974,220
3.77223666666667,221
3.42413,222
3.61935666666667,223
3.62539,224
3.61930666666667,225
3.63978333333333,226
3.55606,227
3.61930666666667,228
3.61930666666667,229
3.61844666666667,230
3.6041,231
3.61930666666667,232
3.60900333333333,233
3.61938666666667,234
3.61171333333333,235
3.61284666666667,236
3.61537666666667,237
3.61356,238
3.07408,239
2.96606,240
2.96606,241
2.96606,242
2.97030333333333,243
2.96606,244
2.98216,245
2.96606,246
3.09522666666667,247
2.9869,248
2.94729,249
3.16857666666667,250
2.96916,251
2.63334333333333,252
3.04718666666667,253
2.86105,254
3.13037666666667,255
2.96599333333333,256
2.95998666666667,257
2.96606,258
2.94574333333333,259
3.0068,260
2.96606,261
2.96606,262
2.967,263
2.97750666666667,264
2.96606,265
2.97806,266
2.96599,267
2.97081,268
2.97361666666667,269
2.96949,270
2.97061333333333,271
2.96606,272
2.9175,273
2.86838666666667,274
2.9175,275
2.9175,276
2.9175,277
2.91259,278
2.9175,279
2.96656,280
2.9175,281
2.99606666666667,282
2.92997333333333,283
2.87178666666667,284
2.90173666666667,285
2.9175,286
3.06605333333333,287
3.62440666666667,288
3.02564,289
2.72924333333333,290
2.91416,291
2.90712,292
2.9175,293
2.90651666666667,294
3.05914333333333,295
2.9175,296
2.9175,297
2.91713666666667,298
2.90247666666667,299
2.9175,300
2.90188666666667,301
2.91828333333333,302
2.91727666666667,303
2.91801,304
2.91878333333333,305
2.92073,306
3.56427666666667,307
3.52046333333333,308
3.52046333333333,309
3.52046333333333,310
3.52713666666667,311
3.52046333333333,312
3.45882333333333,313
3.52046333333333,314
3.43603,315
3.50341333333333,316
3.59235,317
3.53705,318
3.52046333333333,319
3.54988666666667,320
3.06667333333333,321
3.40951666666667,322
3.75903,323
3.52356666666667,324
3.54023,325
3.52046333333333,326
3.52970333333333,327
3.40564666666667,328
3.52046333333333,329
3.52046333333333,330
3.52092333333333,331
3.53834,332
3.52046333333333,333
3.51819666666667,334
3.51924,335
