,S1_sobol,ST_sobol
0,0.0025794684742796695,0.0030610328998041704
1,-4.1637175830773615e-05,6.485066347236231e-06
2,-0.0003595476860728148,8.776484139752802e-05
3,2.1563579463145727e-05,2.645789044538942e-06
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,-0.0006813541756637338,0.00014663167647282308
10,8.876753590001941e-05,3.1300075955970966e-05
11,0.0,0.0
12,0.10353685233528137,0.1054788679526645
13,0.00038839449387318597,0.000882500252506777
14,0.0006233611615823168,0.0007835401769024151
15,-8.112169706457118e-05,3.345609256954391e-06
16,0.8091499494404721,0.8095222170346236
17,0.07016729005183435,0.07290486024538724
18,-8.630717404536502e-05,1.238643372682181e-05
19,0.0,0.0
20,8.826470662982975e-06,2.17974941703516e-07
21,-0.00018670679194793006,0.00010017401799341955
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,-9.283291616858232e-07,6.175522947076082e-08
27,-0.0025474698227630744,0.005787676427795696
28,-4.1091894285713445e-05,2.753929168352482e-06
29,-0.0034148945973861006,0.010026178380335692
30,0.00012946217688096658,0.00016304106626939543
31,6.412805731374471e-05,1.1981321471627353e-05
32,8.786103375459224e-05,9.776371501797165e-05
