,S1_sobol,ST_sobol
0,0.6958753260867899,0.7149952802320588
1,0.017889628965795167,0.03131059415662179
2,0.18868113406830136,0.20854018175678257
3,0.00438022108553025,0.027065282851880274
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,3.749276613399936e-05,2.7394018864915837e-05
10,-0.00011686346476286956,1.7697504058109762e-05
11,0.0,0.0
12,0.00560745107080771,0.007365586488101419
13,0.01167453635381598,0.019302975089275854
14,0.002972250587782872,0.006400927552116686
15,0.004214486138542833,0.01926432407085761
16,0.005770354335187155,0.008782961632434284
17,-0.0001522290352285221,0.0003380471939342096
18,6.575623608269418e-05,2.208779817212737e-05
19,0.0,0.0
20,4.399735442690912e-05,3.4758376896525343e-06
21,0.005097102516391361,0.005502587577188012
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,-0.00048025098688593673,0.0008630703722099601
27,0.01456145031080643,0.014645536519163255
28,8.407387436144886e-06,2.541257364894434e-07
29,0.0054280416859480525,0.007665274361566065
30,8.729246972260336e-05,2.558272385225146e-05
31,3.401264024890669e-05,5.52360270282146e-06
32,6.951014757388966e-05,1.797813647257836e-05
