,S1_sobol,ST_sobol
0,0.4440540611576954,0.45521915075743796
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,-0.0016247117928580165,0.004354274885268011
10,-0.0017726805556896358,0.006083979390239333
11,0.0,0.0
12,0.07155326194302451,0.0797509892378189
13,0.005028942511932314,0.018672403237550556
14,0.01390149819132125,0.04498191343708695
15,-0.0021106962494052074,0.023600561461760997
16,0.08761423200744554,0.14736415196647956
17,0.001283548066469325,0.0006454740196130271
18,6.368151371174101e-05,1.4937271322723076e-05
19,0.0,0.0
20,0.00021516064993030363,0.0010246665914867249
21,0.0019603531215769904,0.04133659793467059
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.26984773818036006,0.3146617030054602
28,-3.2485172160263244e-05,8.17583136831246e-07
29,-0.0017108558734391201,0.05343437107654373
30,-3.50798152265716e-05,1.603734540241141e-05
31,-5.8340998179429555e-05,7.782631212866532e-07
32,5.812757751312431e-05,1.2062299576618731e-05
