,S1_sobol,ST_sobol
0,0.20933319575534837,0.21615769737118967
1,0.0010456552032413135,0.0019403407271329572
2,0.002038180499298402,0.0025543355637628507
3,2.5207189558841606e-05,0.0010608983933332046
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,-2.4965467794799153e-05,0.0001016784034643948
10,7.511812293711095e-05,6.121980961468473e-05
11,0.0,0.0
12,0.033769769615578156,0.036662250424253806
13,0.14755880656128445,0.16810747439120396
14,0.004905635667756412,0.007650943257807572
15,0.066501819599467,0.11132534227805331
16,0.03415308975745321,0.03765648823734917
17,0.0009708080903924455,0.000549560271792597
18,0.0006780569184841441,0.00024431779697760015
19,0.0,0.0
20,0.005519278788104987,0.0071561969453602416
21,0.4113570044869857,0.47776435115570104
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,-1.4024827908545985e-05,0.0003635109879646253
27,0.00411406170628971,0.009979386331157957
28,-2.9993137678328454e-05,1.7362004213622922e-06
29,0.013332666076527095,0.017962413120227266
30,0.0001027655256399248,0.00021221793937455834
31,8.904393531027143e-05,4.2855446329575406e-05
32,-2.8140295977709354e-05,0.00012664956877261486
