"Yield","sample"
5.91368333333333,1
5.65042666666667,2
5.91368333333333,3
5.91368333333333,4
5.91368333333333,5
5.83379666666667,6
5.91368333333333,7
6.12745666666667,8
5.91368333333333,9
5.82150333333333,10
5.95838666666667,11
5.93729666666667,12
5.48040333333333,13
5.91022666666667,14
5.50160666666667,15
6.65665666666667,16
6.51239333333333,17
5.78393666666667,18
5.90993333333333,19
5.91242333333333,20
5.91022666666667,21
5.90733333333333,22
6.16128,23
5.91022666666667,24
5.91022666666667,25
5.35401666666667,26
5.88828333333333,27
5.91022666666667,28
5.55220666666667,29
5.91107666666667,30
5.92185,31
5.90637666666667,32
5.91016,33
5.91333333333333,34
6.19993,35
6.10881666666667,36
6.10881666666667,37
6.10881666666667,38
6.19193666666667,39
6.10881666666667,40
5.90034333333333,41
6.10881666666667,42
6.20158,43
6.04055,44
6.06767666666667,45
6.63253333333333,46
6.10881666666667,47
6.01524333333333,48
4.79256666666667,49
5.52388,50
6.28707,51
6.10872333333333,52
6.10522666666667,53
6.10881666666667,54
6.10733666666667,55
5.76924,56
6.10881666666667,57
6.10881666666667,58
7.13248333333333,59
6.10881666666667,60
6.10881666666667,61
6.19339666666667,62
6.10766333333333,63
6.13862,64
6.09954666666667,65
6.10892666666667,66
6.10367,67
6.10881666666667,68
5.72820666666667,69
5.93439666666667,70
5.72820666666667,71
5.72820666666667,72
5.72820666666667,73
5.81010333333333,74
5.72820666666667,75
5.94953666666667,76
5.72820666666667,77
5.97186,78
5.72153,79
5.71029666666667,80
5.98530333333333,81
5.7106,82
5.59218333333333,83
5.44630666666667,84
5.31638333333333,85
6.28054,86
5.72831666666667,87
5.80009666666667,88
5.72820666666667,89
5.68270666666667,90
5.23465,91
5.72820666666667,92
5.72820666666667,93
6.07354333333333,94
5.72136666666667,95
5.72820666666667,96
5.78229333333333,97
5.72647666666667,98
5.72528,99
5.73446,100
5.72810333333333,101
5.73316,102
6.25574333333333,103
6.64896,104
6.64896,105
6.64896,106
6.54208333333333,107
6.64896,108
6.38647333333333,109
6.64896,110
6.4088,111
6.66049,112
6.68381666666667,113
6.40892333333333,114
6.63384666666667,115
6.59234666666667,116
6.78743,117
7.24974,118
6.17225,119
6.64881333333333,120
6.59300333333333,121
6.64896,122
6.65428333333333,123
6.4223,124
6.64896,125
6.64896,126
6.42368666666667,127
6.67887333333333,128
6.64896,129
6.54841666666667,130
6.64906666666667,131
6.61624666666667,132
6.64609666666667,133
6.64910333333333,134
6.64118,135
6.64896,136
4.76264666666667,137
5.14931333333333,138
4.76264666666667,139
4.76264666666667,140
4.76264666666667,141
4.75767333333333,142
4.76264666666667,143
4.74001333333333,144
4.76264666666667,145
4.84280666666667,146
4.75940333333333,147
4.76403666666667,148
4.92413333333333,149
4.76264666666667,150
4.68283333333333,151
4.70332,152
4.97898,153
4.82995333333333,154
4.76274666666667,155
4.75848,156
4.76264666666667,157
4.79810666666667,158
4.77808,159
4.76264666666667,160
4.76264666666667,161
4.76241,162
4.73591666666667,163
4.76264666666667,164
4.78861333333333,165
4.76275333333333,166
4.82793333333333,167
4.74296333333333,168
4.76474666666667,169
4.76995333333333,170
5.09304666666667,171
5.48274,172
5.48274,173
5.48274,174
5.48944333333333,175
5.48274,176
5.51152333333333,177
5.48274,178
5.39713,179
5.48776666666667,180
5.47957333333333,181
5.30474333333333,182
