,S1_sobol,ST_sobol
0,0.023318848830258233,0.03763710307641996
1,-2.408912280417982e-09,2.139429507654511e-13
2,-2.408912280417982e-09,2.139429507654511e-13
3,-2.408912280417982e-09,2.139429507654511e-13
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0014497658004561141,0.004913783460856585
10,0.0005679572444893115,0.003105494941442005
11,0.0,0.0
12,0.09982565855267413,0.10822432499456003
13,0.02236797827245574,0.06240575990026372
14,0.018388000617308407,0.06336711706076249
15,0.00956569567976757,0.033869078577856794
16,0.5391245008959555,0.5744250730599966
17,0.027930565123560357,0.0315487719654143
18,-0.00020628331316338387,0.00028927305187776916
19,0.0,0.0
20,-0.0004928182739705698,0.0006509306893064628
21,0.05988358254283089,0.0949365295548798
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,-2.408912280417982e-09,2.139429507654511e-13
27,0.04241212030055558,0.09128479885269176
28,5.3592538453668634e-05,3.124938672674032e-05
29,0.006834272638296024,0.05915476278658101
30,0.0007477158304923269,0.00017983261190726216
31,0.0001786482288321941,4.319084478735232e-05
32,0.0003239798080261337,0.0001332945709463141
