,S1_sobol,ST_sobol
0,0.1329001122407558,0.15064399294678713
1,1.0278556450762173e-08,8.46384021368975e-13
2,1.0278556450762173e-08,8.46384021368975e-13
3,1.0278556450762173e-08,8.46384021368975e-13
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0003244614974897273,0.00015325544676210348
10,-0.00042501010973709894,0.00018008222130667934
11,0.0,0.0
12,0.022899725044178938,0.025344120614760584
13,0.15393470524880978,0.1715268322826975
14,0.032028406369748866,0.03352637555459226
15,0.09033844334639177,0.1488235111729566
16,0.020517403882366038,0.023292589002465596
17,0.002484616127268488,0.0024159834398103986
18,-7.853427767988364e-07,8.960524703369438e-05
19,0.0,0.0
20,0.004588335039033413,0.0062768779243744625
21,0.4525722334117621,0.5075312287790035
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,1.0278556450762173e-08,8.46384021368975e-13
27,0.027728592166732548,0.03546677977711043
28,-1.889370637999902e-05,1.8219457533213454e-06
29,0.002254856741521686,0.007580766828722321
30,0.00011105851588423593,0.00016139381299621873
31,0.00014236180695954557,4.6672972378588974e-05
32,8.153196803786116e-05,0.0001085299858108322
