,S1_sobol,ST_sobol
0,0.2684914142872184,0.40463837292848887
1,0.006789988736663273,0.1118329543034077
2,0.009503885241982339,0.10363823442656511
3,0.017882281820688878,0.060025369572536284
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0016225587312415726,0.0094516839503882
10,5.728342431496086e-05,0.00047630857723993656
11,0.0,0.0
12,0.004846319588891464,0.008092198631582722
13,0.034678393628413934,0.11721640450135845
14,0.028885384612532223,0.17547346574354292
15,0.11963834776090485,0.37888962094208434
16,0.0020790917689130265,0.007901546003139767
17,9.494606668888264e-05,0.001680960441280132
18,-0.0004381363847332057,0.00020413453577886452
19,0.0,0.0
20,0.0009699496972961268,0.009474100083635454
21,0.04995667538221057,0.28726653942860303
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,-0.0031094823762055383,0.033126910524630335
27,0.013498818627912348,0.053396142004216565
28,-1.3509969019158813e-05,2.8811136691935027e-06
29,0.0010419315361566046,0.016292695510924576
30,0.0013962819083160384,0.0018604739492573067
31,-0.0006060773856629456,5.167137847733811e-05
32,0.0015075504888176425,0.0017484385642229055
