"Yield","sample"
3.66857,1
3.43888666666667,2
3.66857,3
3.66857,4
3.66857,5
3.63318333333333,6
3.66857,7
3.78496,8
3.66857,9
3.60943666666667,10
3.71386333333333,11
3.69463,12
3.41390666666667,13
3.66857,14
3.03860333333333,15
5.32453666666667,16
4.2124,17
3.61273,18
3.66863666666667,19
3.66907666666667,20
3.66857,21
3.66655666666667,22
4.46979,23
3.66857,24
3.66857,25
3.29,26
3.65535,27
3.66857,28
3.18635333333333,29
3.66961,30
3.63974666666667,31
3.66969666666667,32
3.66850666666667,33
3.67164333333333,34
4.95833,35
4.84327333333333,36
4.84327333333333,37
4.84327333333333,38
4.89322666666667,39
4.84327333333333,40
4.68566666666667,41
4.84327333333333,42
4.91903666666667,43
4.75201333333333,44
4.78323333333333,45
5.19991666666667,46
4.84327333333333,47
4.96940333333333,48
2.84767666666667,49
4.21184,50
4.92381,51
4.84297666666667,52
4.84271333333333,53
4.84327333333333,54
4.84307333333333,55
4.41982666666667,56
4.84327333333333,57
4.84327333333333,58
5.70882333333333,59
4.84327333333333,60
4.84327333333333,61
5.14960666666667,62
4.84204666666667,63
4.93067333333333,64
4.834,65
4.8434,66
4.83824333333333,67
4.84327333333333,68
4.69504666666667,69
4.92762,70
4.69504666666667,71
4.69504666666667,72
4.69504666666667,73
4.7455,74
4.69504666666667,75
4.86951666666667,76
4.69504666666667,77
4.90208,78
4.68915333333333,79
4.67679333333333,80
4.87493333333333,81
4.67949,82
4.85189333333333,83
4.24219,84
4.30704,85
5.09675666666667,86
4.69564333333333,87
4.71514,88
4.69504666666667,89
4.68140666666667,90
3.82143333333333,91
4.69504666666667,92
4.69504666666667,93
5.11636333333333,94
4.69338,95
4.69504666666667,96
4.96572333333333,97
4.69476666666667,98
4.63342333333333,99
4.70098,100
4.69445333333333,101
4.69895333333333,102
4.70057,103
5.10569666666667,104
5.10569666666667,105
5.10569666666667,106
5.04282666666667,107
5.10569666666667,108
4.91322333333333,109
5.10569666666667,110
4.91320333333333,111
5.11731,112
5.14459,113
4.94155,114
5.08274,115
4.49452,116
5.51068333333333,117
5.70431,118
4.77983666666667,119
5.10597,120
5.07591333333333,121
5.10569666666667,122
5.09156,123
5.84187333333333,124
5.10569666666667,125
5.10569666666667,126
4.88640666666667,127
5.12714333333333,128
5.10569666666667,129
4.68289,130
5.10843666666667,131
5.12372,132
5.1025,133
5.10667,134
5.0997,135
5.10569666666667,136
3.77083666666667,137
4.09635,138
3.77083666666667,139
3.77083666666667,140
3.77083666666667,141
3.76793666666667,142
3.77083666666667,143
3.75422,144
3.77083666666667,145
3.83662333333333,146
3.76550333333333,147
3.76711,148
3.88754,149
3.77083666666667,150
3.36818666666667,151
3.65474666666667,152
4.05809333333333,153
3.79853,154
3.77103666666667,155
3.76894,156
3.77083666666667,157
3.78241,158
3.73996666666667,159
3.77083666666667,160
3.77083666666667,161
3.77058333333333,162
3.75033666666667,163
3.77083666666667,164
3.77281666666667,165
3.77088,166
3.82217666666667,167
3.75279,168
3.77236666666667,169
3.77587,170
3.53356333333333,171
3.83312666666667,172
3.83312666666667,173
3.83312666666667,174
3.83677,175
3.83312666666667,176
3.85244,177
3.83312666666667,178
3.77204333333333,179
3.85085333333333,180
3.82551666666667,181
3.71159333333333,182
3.83312666666667,183
4.29433333333333,184
4.28207333333333,185
3.48142333333333,186
3.81716,187
3.83262666666667,188
3.83583666666667,189
3.83312666666667,190
3.83093666666667,191
3.92046333333333,192
3.83312666666667,193
3.83312666666667,194
3.83354,195
3.85097666666667,196
3.83312666666667,197
3.83673333333333,198
3.83303333333333,199
3.87737666666667,200
3.83675333333333,201
3.82916,202
3.81962666666667,203
3.83312666666667,204
3.62743666666667,205
3.46301666666667,206
3.62743666666667,207
3.62743666666667,208
3.62743666666667,209
3.62463,210
3.62743666666667,211
3.61310666666667,212
3.62743666666667,213
3.44677666666667,214
3.60229,215
3.65638,216
3.43776,217
3.62835666666667,218
4.56037333333333,219
2.77145,220
3.75626666666667,221
3.40307,222
3.62803,223
3.62238,224
3.62743666666667,225
3.64887,226
3.54156,227
3.62743666666667,228
3.62743666666667,229
3.62461,230
3.61984,231
3.62743666666667,232
3.59200666666667,233
3.62755333333333,234
3.50815,235
3.61666333333333,236
3.62292333333333,237
3.62038333333333,238
3.07328333333333,239
2.95054333333333,240
2.95054333333333,241
2.95054333333333,242
2.95270333333333,243
2.95054333333333,244
2.96199,245
2.95054333333333,246
3.10937333333333,247
2.96475,248
2.93276,249
3.10519666666667,250
2.94638333333333,251
2.10958666666667,252
3.70598333333333,253
2.88459666666667,254
3.03371,255
2.95048666666667,256
2.94998,257
2.95054333333333,258
2.9676,259
3.01513333333333,260
2.95054333333333,261
2.95054333333333,262
2.95323666666667,263
2.95511333333333,264
2.95054333333333,265
2.97826333333333,266
2.95050333333333,267
3.01002,268
2.95986666666667,269
2.95274333333333,270
2.95498666666667,271
2.95054333333333,272
2.85450333333333,273
2.81568666666667,274
2.85450333333333,275
2.85450333333333,276
2.85450333333333,277
2.85164666666667,278
2.85450333333333,279
2.89339666666667,280
2.85450333333333,281
2.94455333333333,282
2.88265333333333,283
2.77535,284
2.84282333333333,285
2.85450333333333,286
3.24061333333333,287
4.78175333333333,288
2.95875333333333,289
2.74817333333333,290
2.84792333333333,291
2.84979333333333,292
2.85450333333333,293
2.85458333333333,294
3.08697666666667,295
2.85450333333333,296
2.85450333333333,297
2.85390333333333,298
2.84211333333333,299
2.85450333333333,300
2.85979666666667,301
2.85213,302
2.93561,303
2.85178,304
2.85611333333333,305
2.85936,306
5.02785,307
4.98468333333333,308
4.98468333333333,309
4.98468333333333,310
4.99115,311
4.98468333333333,312
4.90495666666667,313
4.98468333333333,314
4.85328333333333,315
4.94779333333333,316
5.07914,317
4.99851666666667,318
4.98468333333333,319
4.81583,320
3.44490666666667,321
4.85098333333333,322
5.39862333333333,323
4.99418333333333,324
4.99934,325
4.98468333333333,326
4.97134666666667,327
4.82863,328
4.98468333333333,329
4.98468333333333,330
4.98609333333333,331
5.00312666666667,332
4.98468333333333,333
4.98518666666667,334
4.989,335
5.03189666666667,336
4.98951,337
4.98174,338
4.97902666666667,339
4.98468333333333,340
4.5348,341
4.49452333333333,342
4.5348,343
4.5348,344
4.5348,345
4.52954,346
4.5348,347
4.24393,348
4.5348,349
4.4132,350
4.55698666666667,351
4.56534333333333,352
4.49632666666667,353
4.56086666666667,354
4.60654666666667,355
4.22352,356
4.92171333333333,357
4.61399666666667,358
4.58543333333333,359
4.53424666666667,360
4.5348,361
4.50979333333333,362
4.59159333333333,363
4.5348,364
4.5348,365
4.53456333333333,366
4.51173666666667,367
4.5348,368
4.54432333333333,369
4.53449333333333,370
4.64860333333333,371
4.53508,372
4.53677,373
4.53840333333333,374
3.53682333333333,375
3.48175,376
3.48175,377
3.48175,378
3.48518333333333,379
3.48175,380
3.71748333333333,381
3.48175,382
3.58679666666667,383
3.48369,384
3.44838333333333,385
3.52500333333333,386
3.46370333333333,387
4.17629333333333,388
4.68996333333333,389
3.25604333333333,390
3.45044,391
3.43479,392
3.48205,393
3.48175,394
3.45257666666667,395
3.08276666666667,396
3.48175,397
3.48175,398
3.48225333333333,399
3.49536666666667,400
3.48175,401
3.56358,402
3.47745666666667,403
4.03096333333333,404
3.48054666666667,405
3.48000666666667,406
3.47684,407
3.48175,408
4.28056666666667,409
4.23899666666667,410
4.28056666666667,411
4.28056666666667,412
4.28056666666667,413
4.31862,414
4.28056666666667,415
4.51153,416
4.28056666666667,417
4.14987666666667,418
4.29253666666667,419
4.27229333333333,420
4.18682,421
4.28056666666667,422
4.49531666666667,423
4.32737333333333,424
3.47895666666667,425
4.62131666666667,426
4.26348,427
4.28802333333333,428
4.28056666666667,429
4.28075,430
3.94016333333333,431
4.28056666666667,432
4.28056666666667,433
4.70879333333333,434
4.28039333333333,435
4.28056666666667,436
3.92163666666667,437
4.28027,438
4.03427666666667,439
4.29034,440
4.28172333333333,441
4.26825666666667,442
3.42135333333333,443
3.36502666666667,444
3.36502666666667,445
3.36502666666667,446
3.34351333333333,447
3.36502666666667,448
3.22817,449
3.36502666666667,450
3.48142333333333,451
3.37273666666667,452
3.35920666666667,453
3.45753,454
3.36502666666667,455
2.81551333333333,456
3.32600666666667,457
4.34785333333333,458
3.33377,459
3.38278,460
3.36231333333333,461
3.36502666666667,462
3.35831333333333,463
3.59167,464
3.36502666666667,465
3.36502666666667,466
3.16177666666667,467
3.37848666666667,468
3.36502666666667,469
3.53882666666667,470
3.36503666666667,471
3.35508,472
3.37169666666667,473
3.36376666666667,474
3.37479,475
3.36502666666667,476
2.78729666666667,477
2.65690666666667,478
2.78729666666667,479
2.78729666666667,480
2.78729666666667,481
2.76364,482
2.78729666666667,483
2.73234333333333,484
2.78729666666667,485
2.88420333333333,486
2.69818666666667,487
2.77114,488
2.75955333333333,489
2.66885333333333,490
1.91105333333333,491
2.91079,492
2.83409666666667,493
2.75890333333333,494
2.80444,495
2.78715333333333,496
2.78729666666667,497
2.77748333333333,498
3.55134666666667,499
2.78729666666667,500
2.78729666666667,501
2.66719333333333,502
2.77576666666667,503
2.78729666666667,504
3.16905,505
2.78706666666667,506
3.03454333333333,507
2.79209,508
2.78551666666667,509
2.78914666666667,510
3.20562,511
3.12192333333333,512
3.12192333333333,513
3.12192333333333,514
3.16331,515
3.12192333333333,516
3.20549333333333,517
3.12192333333333,518
3.03298,519
3.16090333333333,520
3.12972,521
3.14400333333333,522
3.08905666666667,523
4.00383,524
2.98087333333333,525
3.04412666666667,526
3.15079,527
3.10817333333333,528
3.11523,529
3.12192333333333,530
3.05271333333333,531
2.07462,532
3.12192333333333,533
3.12192333333333,534
3.20373333333333,535
3.13471,536
3.12192333333333,537
2.51747333333333,538
3.12226666666667,539
2.67332666666667,540
3.11528333333333,541
3.12040333333333,542
3.11874333333333,543
3.12192333333333,544
5.24951666666667,545
4.93936333333333,546
5.24951666666667,547
5.24951666666667,548
5.24951666666667,549
5.31734666666667,550
5.24951666666667,551
4.87877333333333,552
5.24951666666667,553
5.25078666666667,554
5.31688666666667,555
5.13208333333333,556
4.83064666666667,557
5.17898,558
4.64995333333333,559
4.74734,560
5.37931666666667,561
5.32893333333333,562
5.25337666666667,563
5.25087,564
5.24951666666667,565
5.24558666666667,566
5.68134,567
5.24951666666667,568
5.24951666666667,569
5.24656333333333,570
4.63716,571
5.24951666666667,572
5.36591666666667,573
5.24894,574
4.84237333333333,575
5.25570666666667,576
5.24940666666667,577
5.26157666666667,578
3.52838333333333,579
3.26479666666667,580
3.26479666666667,581
3.26479666666667,582
3.22726666666667,583
3.26479666666667,584
3.53347,585
3.26479666666667,586
3.26401666666667,587
3.18969,588
3.35969666666667,589
3.60815666666667,590
3.25329333333333,591
3.81864,592
3.89512333333333,593
3.11629,594
3.19912333333333,595
3.25949333333333,596
3.26439666666667,597
3.26479666666667,598
3.26881333333333,599
2.51985333333333,600
3.26479666666667,601
3.26479666666667,602
3.26616,603
3.48847,604
3.26479666666667,605
2.87643666666667,606
3.26649666666667,607
3.79233,608
3.25988333333333,609
3.26498333333333,610
3.25045333333333,611
3.26479666666667,612
2.53968666666667,613
2.94785666666667,614
2.53968666666667,615
2.53968666666667,616
2.53968666666667,617
2.51919333333333,618
2.53968666666667,619
2.55082333333333,620
2.53968666666667,621
2.54029,622
2.53406666666667,623
2.54163666666667,624
2.64978333333333,625
2.67485,626
3.18350333333333,627
3.76273333333333,628
2.71776333333333,629
2.52968333333333,630
2.54339333333333,631
2.53857,632
2.53968666666667,633
2.56499666666667,634
2.00327,635
2.53968666666667,636
2.53968666666667,637
2.53948666666667,638
2.66085666666667,639
2.53968666666667,640
2.85665,641
2.53809,642
2.59645333333333,643
2.54424666666667,644
2.53966,645
2.5365,646
4.60527333333333,647
4.92568333333333,648
4.92568333333333,649
4.92568333333333,650
4.97246333333333,651
4.92568333333333,652
4.90208666666667,653
4.92568333333333,654
4.92458,655
4.97885,656
4.89849,657
4.80102333333333,658
4.709,659
4.80244333333333,660
3.56058666666667,661
4.67450333333333,662
4.89662666666667,663
4.91836333333333,664
4.92859,665
4.92568333333333,666
4.92767,667
5.22365666666667,668
4.92568333333333,669
4.92568333333333,670
4.92622333333333,671
4.71536333333333,672
4.92568333333333,673
4.89558,674
4.92483333333333,675
4.95986,676
4.92635333333333,677
4.92577666666667,678
4.93287333333333,679
4.92568333333333,680
4.48136333333333,681
4.65345,682
4.48136333333333,683
4.48136333333333,684
4.48136333333333,685
4.48935666666667,686
4.48136333333333,687
4.31189333333333,688
4.48136333333333,689
4.48229,690
4.47767333333333,691
4.46943,692
4.89974,693
4.51051666666667,694
4.45544,695
3.97616333333333,696
3.23277333333333,697
4.37257666666667,698
4.47932,699
4.46729,700
4.48136333333333,701
4.48132,702
4.4632,703
4.48136333333333,704
4.48136333333333,705
4.7578,706
4.56665333333333,707
4.48136333333333,708
3.87996666666667,709
4.48132,710
4.75220666666667,711
4.47661333333333,712
4.47487333333333,713
4.48166666666667,714
3.63163666666667,715
3.92896,716
3.92896,717
3.92896,718
3.92507666666667,719
3.92896,720
4.03489666666667,721
3.92896,722
3.92791333333333,723
3.92931,724
3.92827333333333,725
3.49285,726
4.05439666666667,727
3.99749,728
4.16237666666667,729
4.80019666666667,730
3.92150666666667,731
3.92378,732
3.93011666666667,733
3.92896,734
3.92270666666667,735
3.94305666666667,736
3.92896,737
3.92896,738
3.81146666666667,739
3.33205666666667,740
3.92896,741
4.07532,742
3.92898,743
3.7025,744
3.91794666666667,745
3.93064333333333,746
3.92886,747
3.92896,748
4.68845,749
4.46970666666667,750
4.68845,751
4.68845,752
4.68845,753
4.69618,754
4.68845,755
4.91468666666667,756
4.68845,757
4.68954,758
4.68024666666667,759
4.66126333333333,760
4.58350666666667,761
4.70994666666667,762
4.78677666666667,763
3.99285666666667,764
4.95299,765
4.64260333333333,766
4.69305,767
4.68760666666667,768
4.68845,769
4.68707666666667,770
4.67127666666667,771
4.68845,772
4.68845,773
4.4487,774
4.47171666666667,775
4.68845,776
4.89155333333333,777
4.68839666666667,778
4.57595333333333,779
4.67909333333333,780
4.69356,781
4.68887,782
4.62927333333333,783
4.39071333333333,784
4.39071333333333,785
4.39071333333333,786
4.38469666666667,787
4.39071333333333,788
4.21470333333333,789
4.39071333333333,790
4.38962666666667,791
4.39399666666667,792
4.40886,793
4.49574333333333,794
4.32327666666667,795
3.69103,796
4.55452666666667,797
4.22811,798
4.45256666666667,799
4.38509333333333,800
4.39153666666667,801
4.39071333333333,802
