,S1_sobol,ST_sobol
0,0.06389429755503359,0.09044484447432558
1,-1.9196006817152542e-05,4.64847755328815e-07
2,-3.64388222445619e-05,9.016152199123404e-07
3,6.130683821211463e-06,4.447611352766203e-07
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0006667449087315912,0.00046373084618459823
10,0.00017531617236855317,0.000847151178020875
11,0.0,0.0
12,0.007114419844018865,0.009729482894891516
13,0.21018720195189586,0.24474016841383453
14,0.11145243726705101,0.14049088824346895
15,0.10888499065372473,0.1830187895267677
16,0.006263946765178955,0.008336040696488642
17,0.000523733826775416,0.0014026521416592498
18,-0.0004691765644305838,9.921740142104172e-05
19,0.0,0.0
20,0.0015166163379807932,0.003679580172749132
21,0.2962810097238982,0.36217767940383166
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,-3.019508523367377e-05,1.565005401562238e-05
27,0.07047371442551778,0.081001703717978
28,0.00010823977933308393,6.85324642174485e-06
29,0.020487939971400353,0.02391848710079471
30,-2.439138792076098e-05,0.0002413217982781191
31,-0.00012176363186209,3.56207431327603e-05
32,-0.0001114257516809032,0.00020279410502436525
